,call_type,unit_type,latitude,longitude
8948,Alarms,CHIEF,37.7857367879,-122.3891243644
8955,Alarms,CHIEF,37.7758548588,-122.445614415
8960,Alarms,CHIEF,37.7646500973,-122.45190218479999
992,Alarms,ENGINE,37.778639592,-122.41012084100001
957,Alarms,TRUCK,37.7857402819,-122.4138042679
5638,Alarms,TRUCK,37.756857058,-122.40850627110001
4128,Alarms,CHIEF,37.7632907519,-122.46203463719999
982,Alarms,CHIEF,37.7632437604,-122.463106079
8977,Alarms,TRUCK,37.7661259455,-122.42207304889999
4134,Alarms,TRUCK,37.7831634271,-122.4115992789
4135,Alarms,ENGINE,37.7753529597,-122.42934454450001
973,Alarms,TRUCK,37.778639592,-122.41012084100001
8989,Alarms,TRUCK,37.7893703539,-122.41453918239999
8990,Alarms,ENGINE,37.7646500973,-122.45190218479999
5625,Alarms,TRUCK,37.76410441,-122.4218779741
4127,Alarms,ENGINE,37.7753529597,-122.42934454450001
5576,Alarms,CHIEF,37.7826425027,-122.4078326793
897,Alarms,TRUCK,37.7822906197,-122.4401194563
9064,Alarms,CHIEF,37.7893703539,-122.41453918239999
828,Alarms,ENGINE,37.789354072100004,-122.40003235969999
4238,Alarms,TRUCK,37.8044382972,-122.41160547610001
826,Alarms,CHIEF,37.7741617053,-122.4891390036
9138,Alarms,CHIEF,37.736962342800005,-122.41255341829999
4240,Alarms,ENGINE,37.7823404681,-122.4037719167
4241,Alarms,ENGINE,37.783838518,-122.41377551209999
5531,Alarms,TRUCK,37.723805207699996,-122.4733271322
817,Alarms,ENGINE,37.7842056749,-122.4076127318
5523,Alarms,TRUCK,37.7649491078,-122.4432024674
4237,Alarms,CHIEF,37.7919873998,-122.3977335533
810,Alarms,CHIEF,37.8071199236,-122.41642787209999
5519,Alarms,TRUCK,37.789580382800004,-122.4128911568
803,Alarms,CHIEF,37.7873040053,-122.39638047790001
5517,Alarms,ENGINE,37.7567570919,-122.4830288757
9162,Alarms,CHIEF,37.736654589400004,-122.42231517379999
9165,Alarms,ENGINE,37.7258516222,-122.4027857406
9168,Alarms,CHIEF,37.800666721199995,-122.44120448940001
4265,Alarms,TRUCK,37.7495954457,-122.39967876809999
788,Alarms,CHIEF,37.7568901706,-122.4222293055
9175,Alarms,TRUCK,37.7495570094,-122.4295304009
9154,Alarms,ENGINE,37.7893703539,-122.41453918239999
834,Alarms,TRUCK,37.787764099,-122.4099253284
4232,Alarms,ENGINE,37.7950840598,-122.4073868893
836,Alarms,TRUCK,37.770103826799996,-122.3910433961
9066,Alarms,ENGINE,37.763627228699995,-122.38972339
9067,Alarms,ENGINE,37.7580927746,-122.41468474540001
9074,Alarms,TRUCK,37.784181763,-122.41440422069999
9075,Alarms,ENGINE,37.7904750362,-122.390556046
9077,Alarms,TRUCK,37.7857367879,-122.3891243644
4200,Alarms,CHIEF,37.771114344299995,-122.39036821260001
5564,Alarms,TRUCK,37.7614131281,-122.42722053370001
9085,Alarms,TRUCK,37.800666721199995,-122.44120448940001
873,Alarms,TRUCK,37.7106489932,-122.4124688013
869,Alarms,ENGINE,37.7632437604,-122.463106079
4210,Alarms,ENGINE,37.7862684417,-122.41299723590001
4213,Alarms,ENGINE,37.771114344299995,-122.39036821260001
4215,Alarms,TRUCK,37.771114344299995,-122.39036821260001
9098,Alarms,ENGINE,37.736962342800005,-122.41255341829999
9099,Alarms,TRUCK,37.7646500973,-122.45190218479999
9104,Alarms,TRUCK,37.7889450363,-122.4262522617
4220,Alarms,TRUCK,37.798713995199996,-122.4096183311
851,Alarms,TRUCK,37.7752362231,-122.41440629479999
4225,Alarms,CHIEF,37.7862684417,-122.41299723590001
9124,Alarms,CHIEF,37.7828450345,-122.4132217667
9128,Alarms,ENGINE,37.800666721199995,-122.44120448940001
4107,Alarms,TRUCK,37.7921242439,-122.42352828959999
5661,Alarms,CHIEF,37.789580382800004,-122.4128911568
5664,Alarms,CHIEF,37.723805207699996,-122.4733271322
5666,Alarms,TRUCK,37.783789296900004,-122.4092663073
8701,Alarms,ENGINE,37.7828450345,-122.4132217667
8702,Alarms,CHIEF,37.7957194378,-122.4158182673
3946,Alarms,ENGINE,37.7817609081,-122.415105135
1227,Alarms,TRUCK,37.7728829828,-122.39227179209999
8704,Alarms,CHIEF,37.7661259455,-122.42207304889999
8711,Alarms,CHIEF,37.763627228699995,-122.38972339
1220,Alarms,ENGINE,37.7825224183,-122.42327443100001
3957,Alarms,ENGINE,37.7921242439,-122.42352828959999
5813,Alarms,ENGINE,37.797178599,-122.4101445636
8699,Alarms,CHIEF,37.7843212349,-122.38904057370002
5805,Alarms,ENGINE,37.797178599,-122.4101445636
1202,Alarms,TRUCK,37.777083464200004,-122.4169793264
1199,Alarms,TRUCK,37.7801242878,-122.44589358120001
3971,Alarms,ENGINE,37.784091036199996,-122.41178436950001
1194,Alarms,TRUCK,37.7918853863,-122.3933412235
8745,Alarms,TRUCK,37.736654589400004,-122.42231517379999
1186,Alarms,TRUCK,37.7358508297,-122.5030619598
8746,Alarms,ENGINE,37.764993728,-122.4439518049
3983,Alarms,TRUCK,37.7788798213,-122.43356996360001
8755,Alarms,ENGINE,37.7495570094,-122.4295304009
1203,Alarms,CHIEF,37.8222647104,-122.3680441341
5826,Alarms,CHIEF,37.7780365108,-122.4154291009
8694,Alarms,ENGINE,37.7826355124,-122.4148628273
3938,Alarms,ENGINE,37.7570337297,-122.476758437
5898,Alarms,TRUCK,37.7806168447,-122.4165622543
1308,Alarms,ENGINE,37.7133177844,-122.4728758613
8614,Alarms,CHIEF,37.7497416992,-122.4073956275
1304,Alarms,CHIEF,37.7857402819,-122.4138042679
1301,Alarms,CHIEF,37.7918853863,-122.3933412235
8623,Alarms,CHIEF,37.784181763,-122.41440422069999
1293,Alarms,TRUCK,37.7675044596,-122.4289485676
