,call_type,latitude,longitude
1618,Alarms,37.7738827775,-122.4427281702
1619,Alarms,37.7825569563,-122.4163494282
1638,Alarms,37.7801242878,-122.44589358120001
1639,Alarms,37.7825569563,-122.4163494282
1648,Alarms,37.760410698499996,-122.4463434725
1650,Alarms,37.7632437604,-122.463106079
1653,Alarms,37.777083464200004,-122.4169793264
1658,Alarms,37.7675044596,-122.4289485676
1670,Alarms,37.8054460529,-122.4228419094
1683,Alarms,37.7738827775,-122.4427281702
1684,Alarms,37.7825224183,-122.42327443100001
1701,Alarms,37.7834768404,-122.4124351407
1702,Alarms,37.7868117506,-122.40284972020001
1710,Alarms,37.7869521631,-122.44107182280001
1719,Alarms,37.710155602600004,-122.412604289
1721,Alarms,37.769637599999996,-122.4376111774
1734,Alarms,37.7791674219,-122.40634642559999
1735,Alarms,37.7617420538,-122.4484553609
1738,Alarms,37.7511571597,-122.44396837149999
1750,Alarms,37.7869521631,-122.44107182280001
1753,Alarms,37.7497020111,-122.4204993342
1754,Alarms,37.7474217897,-122.4248810747
1762,Alarms,37.7700629447,-122.45024394049999
1771,Alarms,37.7813778206,-122.4331620455
1796,Alarms,37.719145679099995,-122.44563492110001
1803,Alarms,37.73673251,-122.3805665589
1805,Alarms,37.717513468,-122.4805945745
1812,Alarms,37.7236442721,-122.4545988592
1829,Alarms,37.7834768404,-122.4124351407
1838,Alarms,37.787764099,-122.4099253284
1842,Alarms,37.7592202976,-122.4633116072
1849,Alarms,37.7497020111,-122.4204993342
1854,Alarms,37.7791674219,-122.40634642559999
1861,Alarms,37.7897614265,-122.4048143711
1866,Alarms,37.747999680999996,-122.42082186489999
1871,Alarms,37.7143348137,-122.4920478717
1876,Alarms,37.7791674219,-122.40634642559999
1877,Alarms,37.7155450528,-122.47362991969999
1880,Alarms,37.7868117506,-122.40284972020001
1884,Alarms,37.787764099,-122.4099253284
1885,Alarms,37.7897614265,-122.4048143711
1894,Alarms,37.7700629447,-122.45024394049999
1902,Alarms,37.7806691632,-122.4016780456
1914,Alarms,37.7806691632,-122.4016780456
1915,Alarms,37.7813778206,-122.4331620455
1923,Alarms,37.763968606700004,-122.4241482517
1926,Alarms,37.769637599999996,-122.4376111774
1932,Alarms,37.747999680999996,-122.42082186489999
1939,Alarms,37.787764099,-122.4099253284
1946,Alarms,37.7791674219,-122.40634642559999
1952,Alarms,37.7143348137,-122.4920478717
1954,Alarms,37.7592202976,-122.4633116072
1966,Alarms,37.719145679099995,-122.44563492110001
1969,Alarms,37.7236442721,-122.4545988592
1970,Alarms,37.7834768404,-122.4124351407
2013,Alarms,37.717513468,-122.4805945745
2020,Alarms,37.763968606700004,-122.4241482517
2031,Alarms,37.7806691632,-122.4016780456
2034,Alarms,37.7834768404,-122.4124351407
2072,Alarms,37.7617420538,-122.4484553609
2078,Alarms,37.7155450528,-122.47362991969999
2082,Alarms,37.7474217897,-122.4248810747
2083,Alarms,37.7511571597,-122.44396837149999
