,call_type,latitude,longitude
3859,Structure Fire,37.781199994,-122.4303648882
3867,Structure Fire,37.804281564,-122.41710095040001
3873,Structure Fire,37.750903790100004,-122.4339790692
3874,Structure Fire,37.7501075459,-122.4137792289
3875,Structure Fire,37.783730040900004,-122.41375367049999
3877,Structure Fire,37.783730040900004,-122.41375367049999
3890,Structure Fire,37.750903790100004,-122.4339790692
3914,Structure Fire,37.804281564,-122.41710095040001
3915,Structure Fire,37.781199994,-122.4303648882
3919,Structure Fire,37.7820569373,-122.4273963973
3920,Structure Fire,37.7852197348,-122.40667465899999
3925,Structure Fire,37.781199994,-122.4303648882
3932,Structure Fire,37.781199994,-122.4303648882
3939,Structure Fire,37.781904293400004,-122.4173105329
3950,Structure Fire,37.804281564,-122.41710095040001
3953,Structure Fire,37.804281564,-122.41710095040001
3958,Structure Fire,37.781199994,-122.4303648882
3961,Structure Fire,37.781199994,-122.4303648882
3973,Structure Fire,37.781904293400004,-122.4173105329
3992,Structure Fire,37.804281564,-122.41710095040001
3995,Structure Fire,37.7501075459,-122.4137792289
4035,Structure Fire,37.7820569373,-122.4273963973
4049,Structure Fire,37.7852197348,-122.40667465899999
4051,Structure Fire,37.7852197348,-122.40667465899999
4053,Structure Fire,37.750903790100004,-122.4339790692
4057,Structure Fire,37.750903790100004,-122.4339790692
4065,Structure Fire,37.7852197348,-122.40667465899999
4115,Structure Fire,37.7501075459,-122.4137792289
4123,Structure Fire,37.783730040900004,-122.41375367049999
4130,Structure Fire,37.783730040900004,-122.41375367049999
4140,Structure Fire,37.7501075459,-122.4137792289
4144,Structure Fire,37.781199994,-122.4303648882
4157,Structure Fire,37.7501075459,-122.4137792289
4196,Structure Fire,37.7637491607,-122.4942673831
4222,Structure Fire,37.7790321327,-122.40184327440001
4226,Structure Fire,37.7271683911,-122.4368054927
4235,Structure Fire,37.786409613800004,-122.40803623629999
4243,Structure Fire,37.7637491607,-122.4942673831
4255,Structure Fire,37.7892141357,-122.4464639892
4277,Structure Fire,37.7690761306,-122.4471672894
4284,Structure Fire,37.7271683911,-122.4368054927
4287,Structure Fire,37.7637491607,-122.4942673831
4293,Structure Fire,37.7637491607,-122.4942673831
4294,Structure Fire,37.743923082100004,-122.43720578
4370,Structure Fire,37.7345987087,-122.39034455049999
4378,Structure Fire,37.743923082100004,-122.43720578
4388,Structure Fire,37.7892141357,-122.4464639892
4407,Structure Fire,37.7875021793,-122.45278022049999
4418,Structure Fire,37.7690761306,-122.4471672894
4423,Structure Fire,37.8044382972,-122.41160547610001
4430,Structure Fire,37.7875021793,-122.45278022049999
4440,Structure Fire,37.7345987087,-122.39034455049999
4450,Structure Fire,37.7637491607,-122.4942673831
4456,Structure Fire,37.7345987087,-122.39034455049999
4462,Structure Fire,37.7637491607,-122.4942673831
4475,Structure Fire,37.743923082100004,-122.43720578
4486,Structure Fire,37.7345987087,-122.39034455049999
4492,Structure Fire,37.7690761306,-122.4471672894
4496,Structure Fire,37.7690761306,-122.4471672894
4501,Structure Fire,37.7690761306,-122.4471672894
4502,Structure Fire,37.7796660426,-122.4137112207
4503,Structure Fire,37.7690761306,-122.4471672894
4515,Structure Fire,37.743923082100004,-122.43720578
4542,Structure Fire,37.7637491607,-122.4942673831
4546,Structure Fire,37.7892141357,-122.4464639892
4556,Structure Fire,37.8044382972,-122.41160547610001
4561,Structure Fire,37.7875021793,-122.45278022049999
4582,Structure Fire,37.7796660426,-122.4137112207
4583,Structure Fire,37.7637491607,-122.4942673831
4587,Structure Fire,37.743923082100004,-122.43720578
4605,Structure Fire,37.743923082100004,-122.43720578
4607,Structure Fire,37.7892141357,-122.4464639892
4612,Structure Fire,37.7690761306,-122.4471672894
4626,Structure Fire,37.8044382972,-122.41160547610001
4651,Structure Fire,37.743923082100004,-122.43720578
4653,Structure Fire,37.7637491607,-122.4942673831
4662,Structure Fire,37.7875021793,-122.45278022049999
4685,Structure Fire,37.7875021793,-122.45278022049999
4687,Structure Fire,37.7345987087,-122.39034455049999
4693,Structure Fire,37.7892141357,-122.4464639892
4694,Structure Fire,37.7790321327,-122.40184327440001
4703,Structure Fire,37.743923082100004,-122.43720578
4708,Structure Fire,37.7892141357,-122.4464639892
4723,Structure Fire,37.786409613800004,-122.40803623629999
4730,Structure Fire,37.7345987087,-122.39034455049999
4736,Structure Fire,37.7345987087,-122.39034455049999
4738,Structure Fire,37.7690761306,-122.4471672894
4742,Structure Fire,37.7892141357,-122.4464639892
4763,Structure Fire,37.7345987087,-122.39034455049999
4766,Structure Fire,37.7875021793,-122.45278022049999
4802,Structure Fire,37.743923082100004,-122.43720578
4816,Structure Fire,37.7892141357,-122.4464639892
4837,Structure Fire,37.7345987087,-122.39034455049999
4868,Structure Fire,37.726236245,-122.4336235923
4882,Structure Fire,37.7637491607,-122.4942673831
4891,Structure Fire,37.7875021793,-122.45278022049999
4894,Structure Fire,37.726236245,-122.4336235923
4947,Structure Fire,37.7345987087,-122.39034455049999
4959,Structure Fire,37.7875021793,-122.45278022049999
4976,Structure Fire,37.7892141357,-122.4464639892
4991,Structure Fire,37.7892141357,-122.4464639892
5003,Structure Fire,37.7875021793,-122.45278022049999
5004,Structure Fire,37.743923082100004,-122.43720578
5009,Structure Fire,37.7690761306,-122.4471672894
5010,Structure Fire,37.7875021793,-122.45278022049999
5021,Structure Fire,37.7690761306,-122.4471672894
5036,Structure Fire,37.7637491607,-122.4942673831
5090,Structure Fire,37.777104530500004,-122.3927504061
5108,Structure Fire,37.7949460514,-122.4291558531
5110,Structure Fire,37.7352738344,-122.39141347030001
